Packet #,Checksum Status,Output Checksum,magic1,magic2,state,typeID,PAD,PAD,pwr_ctr,flight_ctr,checksum,magic3,latitude,longitude,height,northVel,eastVel,downVel,posAccuracy,year,month,day,hour,minute,second,numSatellites,fixQuality,PAD,PAD,PAD,Packet (hex)
119743,OK,1466138078,43690,170,6,5,0,0,36227379150,0,1466138078,3435973836,35.3504731,-117.808865,592376,-7,-11,-20,155,2022,4,23,16,23,3,31,3,0,0,0,5950734ddcac41404278b471c4735dc0f8090900f9fffffff5ffffffecffffff9b000000e60704171017031f03000000aaaaaa0605000000ceef516f080000000000000000000000de7d6357cccccccc
119867,OK,2169605461,43690,170,6,5,0,0,36228426628,0,2169605461,3435973836,35.3504732,-117.808865,592340,30,3,22,155,2022,4,23,16,23,4,31,3,0,0,0,ee0f4a4edcac41404278b471c4735dc0d40909001e00000003000000160000009b000000e60704171017041f03000000aaaaaa060500000084eb616f080000000000000000000000558d5181cccccccc
119987,OK,1857515621,43690,170,6,5,0,0,36229469284,0,1857515621,3435973836,35.3504735,-117.8088651,592335,51,-12,-25,155,2022,4,23,16,23,5,31,3,0,0,0,ad4ece50dcac41400cd81f72c4735dc0cf09090033000000f4ffffffe7ffffff9b000000e60704171017051f03000000aaaaaa060500000064d4716f0800000000000000000000006570b76ecccccccc
120112,OK,1363759529,43690,170,6,5,0,0,36230516611,0,1363759529,3435973836,35.3504737,-117.8088651,592328,7,-6,-36,156,2022,4,23,16,23,6,31,3,0,0,0,d6cd7b52dcac41400cd81f72c4735dc0c809090007000000faffffffdcffffff9c000000e60704171017061f03000000aaaaaa060500000083cf816f080000000000000000000000a9514951cccccccc
120235,OK,2833775758,43690,170,6,5,0,0,36231559906,0,2833775758,3435973836,35.3504738,-117.8088651,592326,14,9,54,156,2022,4,23,16,23,7,31,3,0,0,0,6b8d5253dcac41400cd81f72c4735dc0c60909000e00000009000000360000009c000000e60704171017071f03000000aaaaaa0605000000e2ba916f0800000000000000000000008efce7a8cccccccc
120356,OK,4120031306,43690,170,6,5,0,0,36232604214,0,4120031306,3435973836,35.3504738,-117.8088652,592378,-5,-8,21,156,2022,4,23,16,23,8,31,3,0,0,0,6b8d5253dcac4140d7378b72c4735dc0fa090900fbfffffff8ffffff150000009c000000e60704171017081f03000000aaaaaa060500000036aaa16f0800000000000000000000004ab092f5cccccccc
122920,OK,3022709828,43690,170,6,5,0,0,36254553736,0,3022709828,3435973836,35.3504747,-117.808863,592719,2,-25,-106,160,2022,4,23,16,23,30,30,3,0,0,0,a749df5adcac414071fc5069c4735dc04f0b090002000000e7ffffff96ffffffa0000000e607041710171e1e03000000aaaaaa06050000008896f07008000000000000000000000044e42ab4cccccccc
123044,OK,2436084576,43690,170,6,5,0,0,36255597949,0,2436084576,3435973836,35.3504746,-117.8088634,592759,-1,-42,-10,160,2022,4,23,16,23,31,30,3,0,0,0,128a085adcac41409b7bfe6ac4735dc0770b0900ffffffffd6fffffff6ffffffa0000000e607041710171f1e03000000aaaaaa06050000007d85007108000000000000000000000060b33391cccccccc
123223,OK,3607702930,43690,170,6,5,0,0,36257164410,0,3607702930,3435973836,35.3504742,-117.8088639,592725,13,-14,35,160,2022,4,23,16,23,33,31,3,0,0,0,bf8bad56dcac41408f5a176dc4735dc0550b09000d000000f2ffffff23000000a0000000e60704171017211f03000000aaaaaa06050000007a6c1871080000000000000000000000922d09d7cccccccc
123347,OK,1312225031,43690,170,6,5,0,0,36258207938,0,1312225031,3435973836,35.3504743,-117.808864,592734,31,28,24,160,2022,4,23,16,23,34,31,3,0,0,0,544b8457dcac41405aba826dc4735dc05e0b09001f0000001c00000018000000a0000000e60704171017221f03000000aaaaaa0605000000c258287108000000000000000000000007f7364ecccccccc
123470,OK,2236332134,43690,170,6,5,0,0,36259255029,0,2236332134,3435973836,35.3504742,-117.808864,592770,-17,6,18,160,2022,4,23,16,23,35,31,3,0,0,0,bf8bad56dcac41405aba826dc4735dc0820b0900efffffff0600000012000000a0000000e60704171017231f03000000aaaaaa0605000000f552387108000000000000000000000066b84b85cccccccc
123591,OK,4018740377,43690,170,6,5,0,0,36260295267,0,4018740377,3435973836,35.350474,-117.808864,592757,-26,-8,31,159,2022,4,23,16,23,36,31,3,0,0,0,950c0055dcac41405aba826dc4735dc0750b0900e6fffffff8ffffff1f0000009f000000e60704171017241f03000000aaaaaa060500000063324871080000000000000000000000991c89efcccccccc
123711,OK,33011526,43690,170,6,5,0,0,36261342962,0,33011526,3435973836,35.3504737,-117.8088643,592771,-12,3,-32,159,2022,4,23,16,23,37,31,3,0,0,0,d6cd7b52dcac4140b9d9c46ec4735dc0830b0900f4ffffff03000000e0ffffff9f000000e60704171017251f03000000aaaaaa0605000000f22e587108000000000000000000000046b7f701cccccccc
123834,OK,48802302,43690,170,6,5,0,0,36262387438,0,48802302,3435973836,35.3504736,-117.8088644,592758,18,7,38,158,2022,4,23,16,23,38,31,3,0,0,0,420ea551dcac41408339306fc4735dc0760b09001200000007000000260000009e000000e60704171017261f03000000aaaaaa0605000000ee1e6871080000000000000000000000fea9e802cccccccc
123956,OK,337796484,43690,170,6,5,0,0,36263430497,0,337796484,3435973836,35.3504736,-117.8088645,592714,14,-2,48,158,2022,4,23,16,23,39,31,3,0,0,0,420ea551dcac41404e999b6fc4735dc04a0b09000e000000feffffff300000009e000000e60704171017271f03000000aaaaaa060500000061097871080000000000000000000000845d2214cccccccc
