Packet #,Checksum Status,Output Checksum,magic1,magic2,state,typeID,PAD,PAD,pwr_ctr,flight_ctr,checksum,magic3,latitude,longitude,height,northVel,eastVel,downVel,posAccuracy,year,month,day,hour,minute,second,numSatellites,fixQuality,PAD,PAD,PAD,
55199,OK,1350334391,43690,170,6,5,0,0,66975838035,13847054700,1350334391,3435973836,35.3504581,-117.808859,592310,-1,-26,7,284,2021,4,10,18,4,8,32,3,0,0,0,
55322,OK,1533870525,43690,170,6,5,0,0,66976863103,13848079768,1533870525,3435973836,35.350458,-117.808859,592317,-23,25,-23,284,2021,4,10,18,4,9,32,3,0,0,0,
55444,OK,214669114,43690,170,6,5,0,0,66977887634,13849104299,214669114,3435973836,35.3504577,-117.8088588,592350,-33,-12,-31,284,2021,4,10,18,4,10,32,3,0,0,0,
55568,OK,3200694420,43690,170,6,5,0,0,66978913111,13850129776,3200694420,3435973836,35.3504577,-117.808859,592335,34,-36,41,284,2021,4,10,18,4,11,32,3,0,0,0,
55691,OK,2833236490,43690,170,6,5,0,0,66979937647,13851154312,2833236490,3435973836,35.3504576,-117.808859,592335,-49,-7,23,284,2021,4,10,18,4,12,32,3,0,0,0,
55814,OK,111545608,43690,170,6,5,0,0,66980963552,13852180217,111545608,3435973836,35.3504575,-117.8088591,592307,1,-36,19,284,2021,4,10,18,4,13,32,3,0,0,0,
55938,OK,2613440907,43690,170,6,5,0,0,66981988559,13853205224,2613440907,3435973836,35.3504576,-117.8088591,592342,0,16,-55,284,2021,4,10,18,4,14,32,3,0,0,0,
56260,OK,4210691268,43690,170,5,5,0,0,66983015739,13854232404,4210691268,3435973836,35.3504577,-117.8088587,592344,32,17,67,287,2021,4,10,18,4,15,32,3,0,0,0,
56622,OK,1172280053,43690,170,5,5,0,0,66984041753,13855258418,1172280053,3435973836,35.350458,-117.8088587,592281,4,-44,81,292,2021,4,10,18,4,16,32,3,0,0,0,
56989,OK,1768036195,43690,170,5,5,0,0,66985067725,13856284390,1768036195,3435973836,35.3504583,-117.808859,592212,24,-25,37,297,2021,4,10,18,4,17,32,3,0,0,0,
57356,OK,3764676615,43690,170,5,5,0,0,66986090940,13857307605,3764676615,3435973836,35.3504586,-117.8088587,592094,5,56,126,303,2021,4,10,18,4,18,32,3,0,0,0,
57729,OK,1286151212,43690,170,5,5,0,0,66987118795,13858335460,1286151212,3435973836,35.3504589,-117.808858,592050,8,54,-6,309,2021,4,10,18,4,19,32,3,0,0,0,
58091,OK,2895444206,43690,170,5,5,0,0,66988141807,13859358471,2895444206,3435973836,35.3504588,-117.8088577,592195,-35,-8,-95,315,2021,4,10,18,4,20,32,3,0,0,0,
58457,OK,696249412,43690,170,5,5,0,0,66989168310,13860384975,696249412,3435973836,35.3504588,-117.8088576,592298,-3,-16,-147,320,2021,4,10,18,4,21,32,3,0,0,0,
58826,OK,2498531546,43690,170,5,5,0,0,66990199732,13861416397,2498531546,3435973836,35.3504589,-117.8088575,592199,-14,-6,50,325,2021,4,10,18,4,22,32,3,0,0,0,
59013,OK,2432853128,43690,170,5,5,0,0,66990703420,13861920085,2432853128,3435973836,35.3504589,-117.8088572,592162,16,55,-19,329,2021,4,10,18,4,23,32,3,0,0,0,
59381,OK,1180173475,43690,170,9,5,0,0,66991733071,126369,1180173475,3435973836,35.3504596,-117.808857,593020,178,5,-1026,333,2021,4,10,18,4,24,32,3,0,0,0,
59756,OK,2087269415,43690,170,9,5,0,0,66992761842,1155140,2087269415,3435973836,35.3504671,-117.8090175,651448,-4215,-13601,-101052,1518,2021,4,10,18,4,25,13,3,0,0,0,
60131,OK,2567106961,43690,170,9,5,0,0,66993793775,2187073,2567106961,3435973836,35.3504538,-117.8090933,815460,-2813,-9115,-227492,1327,2021,4,10,18,4,26,11,3,0,0,0,
60504,OK,2344988960,43690,170,9,5,0,0,66994822925,3216223,2344988960,3435973836,35.3501628,-117.8089941,1082460,-62824,21817,-299738,1257,2021,4,10,18,4,27,9,3,0,0,0,
60869,OK,3359987038,43690,170,9,5,0,0,66995851597,4244895,3359987038,3435973836,35.3494965,-117.8086211,1432171,-93051,39549,-397188,1295,2021,4,10,18,4,28,4,3,0,0,0,
61239,OK,917859257,43690,170,9,5,0,0,66996876302,5269600,917859257,3435973836,35.3494965,-117.8086211,1432171,-93051,39549,-397188,1295,2021,4,10,18,4,29,0,0,0,0,0,
61608,OK,482376852,43690,170,9,5,0,0,66997901681,6294979,482376852,3435973836,35.3494965,-117.8086211,1432171,-93051,39549,-397188,1295,2021,4,10,18,4,30,0,0,0,0,0,
61984,OK,418088756,43690,170,9,5,0,0,66998929692,7322990,418088756,3435973836,35.3494965,-117.8086211,1432171,-93051,39549,-397188,1295,2021,4,10,18,4,31,0,0,0,0,0,
62360,OK,3259378962,43690,170,9,5,0,0,66999958531,8351829,3259378962,3435973836,35.3494965,-117.8086211,1432171,-93051,39549,-397188,1295,2021,4,10,18,4,32,0,0,0,0,0,
62734,OK,3928453726,43690,170,9,5,0,0,67000983669,9376967,3928453726,3435973836,35.3494965,-117.8086211,1432171,-93051,39549,-397188,1295,2021,4,10,18,4,33,0,0,0,0,0,
63107,OK,2681676331,43690,170,9,5,0,0,67002007601,10400899,2681676331,3435973836,35.3494965,-117.8086211,1432171,-93051,39549,-397188,1295,2021,4,10,18,4,34,0,0,0,0,0,
63484,OK,1946423831,43690,170,9,5,0,0,67003041220,11434518,1946423831,3435973836,35.3494965,-117.8086211,1432171,-93051,39549,-397188,1295,2021,4,10,18,4,35,0,0,0,0,0,
63852,OK,1086903458,43690,170,9,5,0,0,67004068467,12461765,1086903458,3435973836,35.3533261,-117.8141318,6071364,29795,-44556,-485291,1440,2021,4,10,18,4,36,12,3,0,0,0,
64229,OK,1792766238,43690,170,9,5,0,0,67005096635,13489933,1792766238,3435973836,35.3536223,-117.8146271,6552773,28273,-42910,-457231,1291,2021,4,10,18,4,37,14,3,0,0,0,
64594,OK,918268857,43690,170,9,5,0,0,67006127871,14521169,918268857,3435973836,35.3538897,-117.8150932,7003540,27271,-40499,-431146,1161,2021,4,10,18,4,38,17,3,0,0,0,
64958,OK,1293794430,43690,170,9,5,0,0,67007153142,15546440,1293794430,3435973836,35.3541453,-117.8155286,7428264,26673,-37782,-407364,1076,2021,4,10,18,4,39,22,3,0,0,0,
65322,OK,1542783750,43690,170,9,5,0,0,67008177286,16570584,1542783750,3435973836,35.3544012,-117.8159377,7834057,25589,-35062,-385238,948,2021,4,10,18,4,40,22,3,0,0,0,
65508,OK,1785564067,43690,170,9,5,0,0,67008682099,17075397,1785564067,3435973836,35.3546348,-117.8163164,8213760,24694,-32814,-364546,890,2021,4,10,18,4,41,22,3,0,0,0,
65877,OK,641253661,43690,170,9,5,0,0,67009718964,18112262,641253661,3435973836,35.354863,-117.8166774,8575876,23378,-31928,-344904,767,2021,4,10,18,4,42,24,3,0,0,0,
66241,OK,54961993,43690,170,9,5,0,0,67010744931,19138228,54961993,3435973836,35.3550666,-117.8170127,8914572,21583,-30007,-326799,718,2021,4,10,18,4,43,27,3,0,0,0,
66603,OK,1275668596,43690,170,9,5,0,0,67011769954,20163252,1275668596,3435973836,35.3552622,-117.8173253,9233911,21158,-27186,-309182,688,2021,4,10,18,4,44,26,3,0,0,0,
66970,OK,3574297948,43690,170,9,5,0,0,67012800063,21193361,3574297948,3435973836,35.3554508,-117.8176167,9535526,20532,-25938,-292496,661,2021,4,10,18,4,45,27,3,0,0,0,
67332,OK,221241385,43690,170,9,5,0,0,67013829490,22222788,221241385,3435973836,35.3556351,-117.8178939,9821673,20286,-24117,-277610,637,2021,4,10,18,4,46,26,3,0,0,0,
67695,OK,1040796336,43690,170,9,5,0,0,67014861061,23254359,1040796336,3435973836,35.3558218,-117.8181657,10094410,20623,-24870,-263899,599,2021,4,10,18,4,47,29,3,0,0,0,
68062,OK,1884287400,43690,170,9,5,0,0,67015886003,24279301,1884287400,3435973836,35.3559964,-117.8184297,10351630,18229,-23594,-250264,580,2021,4,10,18,4,48,29,3,0,0,0,
68426,OK,2210336362,43690,170,9,5,0,0,67016911983,25305281,2210336362,3435973836,35.3561598,-117.8186785,10594754,17837,-21820,-235632,573,2021,4,10,18,4,49,29,3,0,0,0,
68794,OK,3647761753,43690,170,9,5,0,0,67017939159,26332457,3647761753,3435973836,35.3563303,-117.8189112,10824067,19262,-20429,-222008,561,2021,4,10,18,4,50,30,3,0,0,0,
69159,OK,1022107805,43690,170,9,5,0,0,67018965288,27358586,1022107805,3435973836,35.3565013,-117.8191426,11040843,18208,-21392,-208575,543,2021,4,10,18,4,51,29,3,0,0,0,
69526,OK,2645135589,43690,170,9,5,0,0,67019990340,28383638,2645135589,3435973836,35.356664,-117.8193625,11243917,17701,-18626,-196524,528,2021,4,10,18,4,52,30,3,0,0,0,
69897,OK,3140573913,43690,170,9,5,0,0,67021020272,29413570,3140573913,3435973836,35.3568181,-117.8195688,11434555,16576,-19134,-183570,509,2021,4,10,18,4,53,31,3,0,0,0,
70259,OK,2369344030,43690,170,9,5,0,0,67022050045,30443343,2369344030,3435973836,35.3569753,-117.8197722,11613475,17706,-17951,-171212,473,2021,4,10,18,4,54,30,3,0,0,0,
70621,OK,1337539588,43690,170,9,5,0,0,67023077381,31470679,1337539588,3435973836,35.3571334,-117.8199576,11778990,17096,-16053,-159277,459,2021,4,10,18,4,55,30,3,0,0,0,
70980,OK,1333877233,43690,170,9,5,0,0,67024101190,32494488,1333877233,3435973836,35.3572837,-117.8201284,11932394,16369,-15122,-147571,457,2021,4,10,18,4,56,27,3,0,0,0,
