pwr_ctr,az
0,-32.046
0.001,48.263
0.0055,232.78
0.0155,280.35
0.0255,290.28
0.0355,291.77
0.0455,291.4
0.0555,290.64
0.0655,289.8
0.0755,288.95
0.0855,288.12
0.0955,287.31
0.1055,286.5
0.1155,285.71
0.1255,284.92
0.1355,284.16
0.1455,283.41
0.1555,282.68
0.1655,281.97
0.1755,281.26
0.1855,280.56
0.1955,279.85
0.2055,279.19
0.2155,278.52
0.2255,277.88
0.2355,277.25
0.2455,276.63
0.2555,276.02
0.2655,275.41
0.2755,274.82
0.2855,274.23
0.2955,273.66
0.3055,273.09
0.3155,272.54
0.3255,272
0.3355,271.47
0.3455,270.95
0.3555,270.44
0.3655,269.94
0.3755,269.45
0.3855,268.96
0.3955,268.48
0.4055,268.01
0.4155,267.54
0.4255,267.08
0.4355,266.62
0.4455,266.18
0.4555,265.75
0.4655,265.31
0.4755,264.89
0.4855,264.47
0.4955,264.05
0.5055,263.64
0.5155,263.23
0.5255,262.82
0.5355,262.41
0.5455,262
0.5555,261.6
0.5655,261.21
0.5755,260.81
0.5855,260.44
0.5955,260.06
0.6055,259.68
0.6155,259.32
0.6255,258.96
0.6355,258.6
0.6455,258.25
0.6555,257.9
0.6655,257.56
0.6755,257.23
0.6855,256.91
0.6955,256.6
0.7055,256.31
0.7155,256.02
0.7255,255.75
0.7355,255.49
0.7455,255.24
0.7555,255
0.7655,254.77
0.7755,254.56
0.7855,254.35
0.7955,254.16
0.8055,253.98
0.8155,253.81
0.8255,253.66
0.8355,253.52
0.8455,253.39
0.8555,253.26
0.8655,253.16
0.8755,253.05
0.8855,252.95
0.8955,252.86
0.9055,252.77
0.9155,252.68
0.9255,252.59
0.9355,252.5
0.9455,252.41
0.9555,252.32
0.9655,252.22
0.9755,252.12
0.9855,252.01
0.9955,251.91
1.0055,251.79
1.0155,251.67
1.0255,251.55
1.0355,251.42
1.0455,251.29
1.0555,251.15
1.0655,251.02
1.0755,250.88
1.0855,250.75
1.0955,250.6
1.1055,250.47
1.1155,250.34
1.1255,250.2
1.1355,250.07
1.1455,249.95
1.1555,249.83
1.1655,249.71
1.1755,249.6
1.1855,249.49
1.1955,249.39
1.2055,249.28
1.2155,249.19
1.2255,249.09
1.2355,249
1.2455,248.91
1.2555,248.83
1.2655,248.75
1.2755,248.67
1.2855,248.59
1.2955,248.51
1.3055,248.43
1.3155,248.35
1.3255,248.28
1.3355,248.21
1.3455,248.15
1.3555,248.09
1.3655,248.04
1.3755,247.99
1.3855,247.95
1.3955,247.91
1.4055,247.89
