Packet #,Checksum Status,Output Checksum,magic1,magic2,state,typeID,PAD,PAD,pwr_ctr,flight_ctr,checksum,magic3,ax,ay,az,PAD,Packet (hex)
6,OK,3309593048,43690,170,3,3,0,0,34427845762,514871933,3309593048,3435973836,-2,19,1,0,feff130001000000aaaaaa0303000000823c0f04080000007d52b01e00000000d86144c5cccccccc
15,OK,1869025851,43690,170,3,3,0,0,34433481175,520507345,1869025851,3435973836,-3,20,3,0,fdff140003000000aaaaaa0303000000d739650408000000d14f061f000000003b12676fcccccccc
24,OK,1716399144,43690,170,3,3,0,0,34503366430,590392600,1716399144,3435973836,-1,19,3,0,ffff130003000000aaaaaa03030000001e978f080800000018ad302300000000282c4e66cccccccc
33,OK,2658581302,43690,170,3,3,0,0,34648750501,735776671,2658581302,3435973836,-6,19,7,0,faff130007000000aaaaaa0303000000a5f93911080000009f0fdb2b0000000036bb769ecccccccc
42,OK,1796940750,43690,170,3,3,0,0,35392551796,1479577966,1796940750,3435973836,-4,-1,-19,0,fcffffffedff0000aaaaaa0303000000747b8f3d080000006e91305800000000ce231b6bcccccccc
51,OK,3383641560,43690,170,3,3,0,0,35741571255,1828597425,3383641560,3435973836,-1,-3,-20,0,fffffdffecff0000aaaaaa0303000000b7185d5208000000b12efe6c00000000d845aec9cccccccc
60,OK,2694015480,43690,170,3,3,0,0,36066114141,2153140311,2694015480,3435973836,-3,-2,-18,0,fdfffeffeeff0000aaaaaa03030000005d3ab565080000005750568000000000f86993a0cccccccc
69,OK,4259539933,43690,170,3,3,0,0,36286707848,2373734018,4259539933,3435973836,1,-1,-20,0,0100ffffecff0000aaaaaa03030000008838db7208000000824e7c8d00000000dd6be3fdcccccccc
78,OK,4073023107,43690,170,3,3,0,0,36525198801,2612224972,4073023107,3435973836,1,-3,-19,0,0100fdffedff0000aaaaaa0303000000d14d128108000000cc63b39b000000008366c5f2cccccccc
87,OK,706168301,43690,170,3,3,0,0,36674771802,2761797972,706168301,3435973836,1,-1,-22,0,0100ffffeaff0000aaaaaa03030000005a9bfc890800000054b19da400000000ed45172acccccccc
96,OK,2419210929,43690,170,3,3,0,0,36925323399,3012349569,2419210929,3435973836,1,1,-19,0,01000100edff0000aaaaaa030300000087b8eb980800000081ce8cb300000000b13a3290cccccccc
105,OK,3409865093,43690,170,3,3,0,0,37179820198,3266846368,3409865093,3435973836,-2,20,-1,0,feff1400ffff0000aaaaaa0303000000a60817a808000000a01eb8c20000000085693ecbcccccccc
114,OK,1161400419,43690,170,3,3,0,0,37329568436,3416594606,1161400419,3435973836,15,-14,0,0,0f00f2ff00000000aaaaaa0303000000b40204b108000000ae18a5cb0000000063903945cccccccc
123,OK,3039377177,43690,170,3,3,0,0,37634703519,3721729689,3039377177,3435973836,2,19,-4,0,02001300fcff0000aaaaaa03030000009f0034c3080000009916d5dd00000000193729b5cccccccc
132,OK,2340030471,43690,170,3,3,0,0,38710455197,4797481368,2340030471,3435973836,6,19,-4,0,06001300fcff0000aaaaaa03030000009dab52030900000098c1f31d0100000007087a8bcccccccc
141,OK,3406315894,43690,170,3,3,0,0,39324397779,5411423949,3406315894,3435973836,4,19,-3,0,04001300fdff0000aaaaaa0303000000d3b0ea2709000000cdc68b4201000000764108cbcccccccc
150,OK,769518313,43690,170,3,3,0,0,40064811723,6151837893,769518313,3435973836,17,8,-1,0,11000800ffff0000aaaaaa0303000000cb820c5409000000c598ad6e01000000e9eadd2dcccccccc
159,OK,3245041501,43690,170,3,3,0,0,40734100574,6821126744,3245041501,3435973836,17,10,-1,0,11000a00ffff0000aaaaaa03030000005e0cf17b0900000058229296010000005d676bc1cccccccc
168,OK,4093213460,43690,170,3,3,0,0,40877969653,6964995823,4093213460,3435973836,0,16,-2,0,00001000feff0000aaaaaa0303000000f550848409000000ef66259f01000000147bf9f3cccccccc
177,OK,2320673027,43690,170,3,3,0,0,40887728246,6974754417,2320673027,3435973836,0,18,0,0,0000120000000000aaaaaa03030000007638198509000000714eba9f0100000003a9528acccccccc
186,OK,4088801101,43690,170,3,3,0,0,41602197731,7689223901,4088801101,3435973836,-1,-1,21,0,ffffffff15000000aaaaaa0303000000e328afaf09000000dd3e50ca010000004d27b6f3cccccccc
195,OK,2363029823,43690,170,3,3,0,0,42721433940,8808460110,2363029823,3435973836,-1,-3,20,0,fffffdff14000000aaaaaa0303000000545965f2090000004e6f060d020000003ff9d88ccccccccc
204,OK,2169847535,43690,170,3,3,0,0,42759967169,8846993340,2169847535,3435973836,-1,-1,19,0,ffffffff13000000aaaaaa0303000000c151b1f409000000bc67520f02000000ef3e5581cccccccc
213,OK,702871155,43690,170,3,3,0,0,43425667718,9512693888,702871155,3435973836,-2,-2,18,0,fefffeff12000000aaaaaa0303000000861a5f1c0a000000803000370200000073f6e429cccccccc
222,OK,298209128,43690,170,3,3,0,0,44534451663,10621477833,298209128,3435973836,-1,-1,19,0,ffffffff13000000aaaaaa0303000000cfcd755e0a000000c9e3167902000000684fc611cccccccc
231,OK,814329798,43690,170,3,3,0,0,44971541075,11058567245,814329798,3435973836,0,-2,16,0,0000feff10000000aaaaaa0303000000534283780a0000004d58249302000000c6af8930cccccccc
