Packet #,Checksum Status,Output Checksum,magic1,magic2,state,typeID,PAD,PAD,pwr_ctr,flight_ctr,checksum,magic3,altitude,pressure,temperature,PAD,Packet (hex)
9,OK,223015276,43690,170,3,6,0,0,34427849481,514875652,223015276,3435973836,536.3882446289062,95049,21.65999984741211,0,d918064449730100ae47ad4100000000aaaaaa0306000000094b0f04080000000461b01e000000006cf14a0dcccccccc
18,OK,1685831683,43690,170,3,6,0,0,34433485921,520512092,1685831683,3435973836,536.301025390625,95049,21.729999542236328,0,44130644497301000ad7ad4100000000aaaaaa0306000000614c6504080000005c62061f0000000003c07b64cccccccc
27,OK,3058258884,43690,170,3,6,0,0,34503370149,590396320,3058258884,3435973836,536.301025390625,95051,21.84000015258789,0,441306444b73010052b8ae4100000000aaaaaa0306000000a5a58f0808000000a0bb302300000000c45349b6cccccccc
36,OK,2924752655,43690,170,3,6,0,0,34648755246,735781417,2924752655,3435973836,535.2493896484375,95061,19.489999771118164,0,f6cf05445573010085eb9b4100000000aaaaaa03060000002e0c3a11080000002922db2b000000000f2f54aecccccccc
45,OK,3864826340,43690,170,3,6,0,0,35392555515,1479581686,3864826340,3435973836,533.6719360351562,95078,22.329999923706055,0,016b054466730100d7a3b24100000000aaaaaa0306000000fb898f3d08000000f69f305800000000e4915ce6cccccccc
54,OK,3336243158,43690,170,3,6,0,0,35741576001,1828602172,3336243158,3435973836,533.4974975585938,95083,19.3700008392334,0,d75f05446b730100c3f59a4100000000aaaaaa0306000000412b5d52080000003c41fe6c00000000d607dbc6cccccccc
63,OK,4067489770,43690,170,3,6,0,0,36066117860,2153144031,4067489770,3435973836,532.884521484375,95085,20.829999923706055,0,9c3805446d730100d7a3a64100000000aaaaaa0306000000e448b56508000000df5e568000000000eaf770f2cccccccc
72,OK,1994321486,43690,170,3,6,0,0,36286712594,2373738765,1994321486,3435973836,532.7973022460938,95089,21.43000030517578,0,0733054471730100a470ab4100000000aaaaaa0306000000124bdb72080000000d617c8d000000004eeede76cccccccc
81,OK,1673978844,43690,170,3,6,0,0,36525202520,2612228691,1673978844,3435973836,532.4458618164062,95095,21.899999618530273,0,891c0544777301003333af4100000000aaaaaa0306000000585c1281080000005372b39b00000000dce3c663cccccccc
90,OK,3284397569,43690,170,3,6,0,0,36674776546,2761802717,3284397569,3435973836,532.3587036132812,95094,22.170000076293945,0,f516054476730100295cb14100000000aaaaaa0306000000e2adfc8908000000ddc39da40000000001eec3c3cccccccc
