Packet #,Checksum Status,Output Checksum,magic1,magic2,state,typeID,PAD,PAD,pwr_ctr,flight_ctr,checksum,magic3,ax,ay,az,PAD,Packet (hex)
4,OK,1757907299,43690,170,3,3,127,4096,75910082435,657549489,1757907299,3435973836,0,2,14,4096,000002000e000010aaaaaa03037f001083ef97ac11000000b1683127000000006389c768cccccccc
12,OK,4220328717,43690,170,3,3,127,4096,76577449789,1324916843,4220328717,3435973836,16,14,-12,4096,10000e00f4ff0010aaaaaa03037f00103d275fd4110000006ba0f84e000000000d1b8dfbcccccccc
21,OK,2112581676,43690,170,3,3,127,4096,77175896844,1923168672,2112581676,3435973836,2,6,-22,4096,02000600eaff0010aaaaaa03037f00100cbb0af811000000a039a172000000002c70eb7dcccccccc
28,OK,3556919059,43690,170,3,3,127,4096,77186196781,1933468609,3556919059,3435973836,4,0,-22,4096,04000000eaff0010aaaaaa03037f00102de5a7f811000000c1633e7300000000134702d4cccccccc
36,OK,3195973528,43690,170,3,3,127,4096,77352231773,2099503601,3195973528,3435973836,-4,4,-18,4096,fcff0400eeff0010aaaaaa03037f00105d638d0212000000f1e1237d0000000098af7ebecccccccc
44,OK,4154126377,43690,170,3,3,127,4096,77702243175,2449515003,4154126377,3435973836,2,4,-28,4096,02000400e4ff0010aaaaaa03037f001067236a1712000000fba100920000000029f09af7cccccccc
52,OK,953886539,43690,170,3,3,127,4096,78311240776,3058512604,953886539,3435973836,0,0,-26,4096,00000000e6ff0010aaaaaa03037f001048b4b63b12000000dc324db6000000004b27db38cccccccc
61,OK,285421976,43690,170,3,3,127,4096,78322173771,3069445599,285421976,3435973836,0,8,-30,4096,00000800e2ff0010aaaaaa03037f00104b875d3c12000000df05f4b60000000098310311cccccccc
69,OK,3817711562,43690,170,5,3,127,4096,78524529634,3271801462,3817711562,3435973836,8,0,-28,4096,08000000e4ff0010aaaaaa05037f0010e23b6d481200000076ba03c300000000caa78de3cccccccc
74,OK,3175602482,43690,170,5,3,127,4096,78525258834,3272530662,3175602482,3435973836,2,0,-24,4096,02000000e8ff0010aaaaaa05037f0010525c784812000000e6da0ec30000000032d947bdcccccccc
81,OK,2057167742,43690,170,5,3,127,4096,78526259916,3273531744,2057167742,3435973836,4,2,-20,4096,04000200ecff0010aaaaaa05037f0010cca287481200000060211ec3000000007ee39d7acccccccc
87,OK,2929235786,43690,170,5,3,127,4096,78527261015,3274532843,2929235786,3435973836,4,0,-30,4096,04000000e2ff0010aaaaaa05037f001057e9964812000000eb672dc3000000004a9798aecccccccc
93,OK,4222336910,43690,170,5,3,127,4096,78528261742,3275533570,4222336910,3435973836,4,4,-30,4096,04000400e2ff0010aaaaaa05037f00106e2ea6481200000002ad3cc3000000008ebfabfbcccccccc
99,OK,3787675705,43690,170,5,3,127,4096,78529263757,3276535585,3787675705,3435973836,4,4,-26,4096,04000400e6ff0010aaaaaa05037f00108d78b5481200000021f74bc3000000003958c3e1cccccccc
105,OK,4074369104,43690,170,5,3,127,4096,78530264010,3277535838,4074369104,3435973836,4,0,-24,4096,04000000e8ff0010aaaaaa05037f0010cabbc448120000005e3a5bc30000000050f0d9f2cccccccc
111,OK,4090077613,43690,170,5,3,127,4096,78531264910,3278536738,4090077613,3435973836,2,6,-26,4096,02000600e6ff0010aaaaaa05037f00108e01d4481200000022806ac300000000ada1c9f3cccccccc
117,OK,1570050836,43690,170,5,3,127,4096,78532265749,3279537577,1570050836,3435973836,6,0,-18,4096,06000000eeff0010aaaaaa05037f00101547e34812000000a9c579c3000000001413955dcccccccc
123,OK,4285093880,43690,170,5,3,127,4096,78533268023,3280539851,4285093880,3435973836,0,0,-26,4096,00000000e6ff0010aaaaaa05037f00103792f24812000000cb1089c300000000f85769ffcccccccc
129,OK,3948815067,43690,170,5,3,127,4096,78534267922,3281539750,3948815067,3435973836,4,2,-26,4096,04000200e6ff0010aaaaaa05037f001012d4014912000000a65298c300000000db225eebcccccccc
134,OK,2000555843,43690,170,5,3,127,4096,78535268830,3282540658,2000555843,3435973836,6,0,-24,4096,06000000e8ff0010aaaaaa05037f0010de191149120000007298a7c300000000430f3e77cccccccc
141,OK,2788394402,43690,170,5,3,127,4096,78536269841,3283541669,2788394402,3435973836,2,4,-26,4096,02000400e6ff0010aaaaaa05037f00101160204912000000a5deb6c300000000a28533a6cccccccc
146,OK,177609127,43690,170,5,3,127,4096,78537270845,3284542673,177609127,3435973836,6,6,-30,4096,06000600e2ff0010aaaaaa05037f00103da62f4912000000d124c6c300000000a719960acccccccc
