Packet #,Checksum Status,Output Checksum,magic1,magic2,state,typeID,PAD,PAD,pwr_ctr,flight_ctr,checksum,magic3,altitude,pressure,temperature,PAD,Packet (hex)
5,OK,2245626177,43690,170,3,6,0,0,75910083527,657550581,2245626177,3435973836,1371.4827880859375,85900,20.280000686645508,2147483647,736fab448c4f0100713da241ffffff7faaaaaa0306000000c7f397ac11000000f56c3127000000004189d985cccccccc
13,OK,779100957,43690,170,3,6,0,0,76577450881,1324917935,779100957,3435973836,1374.146240234375,85868,18.479999542236328,2147483647,aec4ab446c4f01000ad79341ffffff7faaaaaa0306000000812b5fd411000000afa4f84e000000001d23702ecccccccc
22,OK,258064903,43690,170,3,6,0,0,77175897936,1923169764,258064903,3435973836,1372.9095458984375,85887,20.389999389648438,2147483647,1b9dab447f4f0100b81ea341ffffff7faaaaaa030600000050bf0af811000000e43da1720000000007c2610fcccccccc
29,OK,2744428490,43690,170,3,6,0,0,77186197873,1933469701,2744428490,3435973836,1373.1949462890625,85888,20.43000030517578,2147483647,3da6ab44804f0100a470a341ffffff7faaaaaa030600000071e9a7f81100000005683e7300000000caa794a3cccccccc
37,OK,4041153421,43690,170,3,6,0,0,77352232865,2099504693,4041153421,3435973836,1371.76806640625,85899,21.139999389648438,2147483647,9478ab448b4f0100b81ea941ffffff7faaaaaa0306000000a1678d021200000035e6237d000000008d1bdff0cccccccc
45,OK,1085139476,43690,170,3,6,0,0,77702244267,2449516095,1085139476,3435973836,1371.102294921875,85911,22.040000915527344,2147483647,4663ab44974f0100ec51b041ffffff7faaaaaa0306000000ab276a17120000003fa600920000000014eaad40cccccccc
53,OK,697724536,43690,170,3,6,0,0,78311241868,3058513696,697724536,3435973836,1369.009521484375,85920,16.8799991607666,2147483647,4e20ab44a04f01003d0a8741ffffff7faaaaaa03060000008cb8b63b1200000020374db600000000786e9629cccccccc
62,OK,527119468,43690,170,3,6,0,0,78322174863,3069446691,527119468,3435973836,1369.1046142578125,85922,16.81999969482422,2147483647,5923ab44a24f01005c8f8641ffffff7faaaaaa03060000008f8b5d3c12000000230af4b6000000006c346b1fcccccccc
70,OK,3768613726,43690,170,5,6,0,0,78524530726,3271802554,3768613726,3435973836,1369.1998291015625,85928,16.979999542236328,2147483647,6526ab44a84f01000ad78741ffffff7faaaaaa050600000026406d4812000000babe03c3000000005e7ba0e0cccccccc
75,OK,3180574819,43690,170,5,6,0,0,78525259926,3272531754,3180574819,3435973836,1368.9144287109375,85925,16.979999542236328,2147483647,431dab44a54f01000ad78741ffffff7faaaaaa050600000096607848120000002adf0ec30000000063b893bdcccccccc
82,OK,2068754024,43690,170,5,6,0,0,78526261008,3273532836,2068754024,3435973836,1369.1998291015625,85924,16.979999542236328,2147483647,6526ab44a44f01000ad78741ffffff7faaaaaa050600000010a7874812000000a4251ec30000000068ae4e7bcccccccc
88,OK,3044772954,43690,170,5,6,0,0,78527262107,3274533935,3044772954,3435973836,1369.1046142578125,85924,16.979999542236328,2147483647,5923ab44a44f01000ad78741ffffff7faaaaaa05060000009bed9648120000002f6c2dc3000000005a8c7bb5cccccccc
94,OK,2279207041,43690,170,5,6,0,0,78528262834,3275534662,2279207041,3435973836,1368.8193359375,85926,16.979999542236328,2147483647,381aab44a64f01000ad78741ffffff7faaaaaa0506000000b232a6481200000046b13cc30000000081f0d987cccccccc
100,OK,775040448,43690,170,5,6,0,0,78529264848,3276536676,775040448,3435973836,1369.3900146484375,85926,16.979999542236328,2147483647,7b2cab44a64f01000ad78741ffffff7faaaaaa0506000000d07cb5481200000064fb4bc300000000c02d322ecccccccc
106,OK,2301611035,43690,170,5,6,0,0,78530265101,3277536929,2301611035,3435973836,1369.009521484375,85925,16.979999542236328,2147483647,4e20ab44a54f01000ad78741ffffff7faaaaaa05060000000dc0c44812000000a13e5bc3000000001bcc2f89cccccccc
112,OK,3727670857,43690,170,5,6,0,0,78531266001,3278537829,3727670857,3435973836,1369.009521484375,85925,16.979999542236328,2147483647,4e20ab44a54f01000ad78741ffffff7faaaaaa0506000000d105d4481200000065846ac30000000049be2fdecccccccc
118,OK,1155999007,43690,170,5,6,0,0,78532266840,3279538668,1155999007,3435973836,1369.1998291015625,85925,16.979999542236328,2147483647,6526ab44a54f01000ad78741ffffff7faaaaaa0506000000584be34812000000ecc979c3000000001f25e744cccccccc
