Packet #,Checksum Status,Output Checksum,magic1,magic2,state,typeID,PAD,PAD,pwr_ctr,flight_ctr,checksum,magic3,fixQuality,numSats,latitude,longitude,altitude,max_altitude,hours,minutes,seconds,PAD,PAD,Packet (hex)
7,OK,756568913,43690,170,3,5,162,37619,75910085717,657552771,756568913,3435973836,1,4,32.93966293334961,-106.92037963867188,1.1448999643325806,1.1448999643325806,11,10,17,223,438518026,010000000400000037c203423cd7d5c2158c923f158c923f0b0a11df0a41231aaaaaaa0305a2f39255fc97ac1100000083753127000000005153182dcccccccc
15,OK,163871184,43690,170,3,5,162,37619,76577453073,1324920127,163871184,3435973836,1,9,32.94049835205078,-106.9205322265625,1.392699956893921,1.392699956893921,11,21,24,223,438518026,010000000900000012c3034250d7d5c2fe43b23ffe43b23f0b1518df0a41231aaaaaaa0305a2f39211345fd4110000003fadf84e00000000d079c409cccccccc
24,OK,1160088171,43690,170,3,5,162,37619,77175901141,1923172969,1160088171,3435973836,1,7,32.94050979614258,-106.9205551147461,1.3876999616622925,1.3876999616622925,11,31,31,223,438518026,010000000700000015c3034253d7d5c227a0b13f27a0b13f0b1f1fdf0a41231aaaaaaa0305a2f392d5cb0af811000000694aa172000000006b8a2545cccccccc
31,OK,1348503510,43690,170,3,5,162,37619,77186201080,1933472908,1348503510,3435973836,1,12,32.94050979614258,-106.92056274414062,1.3875999450683594,1.3876999616622925,11,31,42,223,438518026,010000000c00000015c3034254d7d5c2e09cb13f27a0b13f0b1f2adf0a41231aaaaaaa0305a2f392f8f5a7f8110000008c743e7300000000d6876050cccccccc
39,OK,3428473769,43690,170,3,5,162,37619,77352236074,2099507902,3428473769,3435973836,1,10,32.94050979614258,-106.92056274414062,1.3875999450683594,1.3876999616622925,11,34,28,223,438518026,010000000a00000015c3034254d7d5c2e09cb13f27a0b13f0b221cdf0a41231aaaaaaa0305a2f3922a748d0212000000bef2237d00000000a95b5acccccccccc
47,OK,1222913585,43690,170,3,5,162,37619,77702247475,2449519303,1222913585,3435973836,1,10,32.940486907958984,-106.92054748535156,1.3890000581741333,1.3890000581741333,11,40,18,223,438518026,010000000a0000000fc3034252d7d5c2c1cab13fc1cab13f0b2812df0a41231aaaaaaa0305a2f39233346a1712000000c7b2009200000000312ee448cccccccc
55,OK,2056107888,43690,170,3,5,162,37619,78311245076,3058516904,2056107888,3435973836,1,12,32.94049072265625,-106.92057037353516,1.3868000507354736,1.3890000581741333,11,50,27,223,438518026,010000000c00000010c3034255d7d5c2aa82b13fc1cab13f0b321bdf0a41231aaaaaaa0305a2f39214c5b63b12000000a8434db60000000070b78d7acccccccc
64,OK,3704105863,43690,170,3,5,162,37619,78322177054,3069448882,3704105863,3435973836,1,13,32.94049072265625,-106.92057037353516,1.3868000507354736,1.3890000581741333,11,50,38,223,438518026,010000000d00000010c3034255d7d5c2aa82b13fc1cab13f0b3226df0a41231aaaaaaa0305a2f3921e945d3c12000000b212f4b600000000872bc8dccccccccc
78,OK,399761038,43690,170,5,5,162,37619,78525279341,3272551169,399761038,3435973836,1,11,32.94049072265625,-106.92057037353516,1.3867000341415405,1.3890000581741333,11,54,1,223,438518026,010000000b00000010c3034255d7d5c2637fb13fc1cab13f0b3601df0a41231aaaaaaa0505a2f3926dac784812000000012b0fc3000000008eded317cccccccc
79,OK,3599189224,43690,170,5,5,162,37619,78526195216,3273467045,3599189224,3435973836,1,11,32.94049072265625,-106.92057037353516,1.3867000341415405,1.3890000581741333,11,54,2,223,438518026,010000000b00000010c3034255d7d5c2637fb13fc1cab13f0b3602df0a41231aaaaaaa0505a2f39210a6864812000000a5241dc300000000e84487d6cccccccc
